GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
A1BG	1	99.6105122214784	136.923032587786	227.179442691957	1	34.2890189395634
A1BG.AS1	1	36.1462548368519	92.1668236862816	112.240787774599	1	35.9742627189796
A1CF	211.073474900177	1	270.774835293287	41.3957972093382	306.363350805148	110.55850651518
A2M	269.163390932344	1	258.283835147238	119.32442204016	151.557193937404	91.7779576074223
A2M.AS1	1	2460.3156518514	870.698251096961	1	1	1
A2ML1	1	1	1	1	151.393768127449	89.7502751803544
A2MP1	1	1	120.342365916744	1	1	115.631474904493
A4GALT	1	1	282.464665943174	1	147.16617627826	32.411105169012
A4GNT	1	104.605392329395	106.60639445622	1	209.95641599101	50.8322872774735
AA06	1	1	280.001652925571	63.4779721620139	1	97.8941984057698
AAAS	539.893410689467	1	457.459303872379	264.391878620398	1	1
AACS	1820.07887336437	443.915966938534	715.392426118379	710.786044759205	1887.76343220396	163.933629680737
AACSP1	1	1	77.5068898993885	25.8543969039254	1	31.9425119415073
AADAC	1	1	109.140593728259	45.6829263168674	1	33.2254407149755
AADACL2	38.6778642074518	12.6024570486021	106.94295174009	17.8606667289209	0	13.3167291923877
AADACP1	20.0443898235344	6.84229486608337	46.9501151291804	0	61.4347992885248	11.6213634991903
AADAT	1	1	94.5919136089629	63.7803277768751	1	27.0547160475771
AAED1	1	762.742640292537	588.363965399907	641.480881046338	1	1
AAGAB	1195.68963848714	959.989995777969	607.37808600826	1159.95396953869	1431.17051432114	454.944393505082
AAK1	1	5453.23460409722	6088.3889321186	2473.33461216894	7707.77266951094	864.333220765408
AAMDC	352.395015584797	138.825902475133	374.299707835506	453.822679252766	981.652533816109	144.553750468798
AAMP	909.983355618424	782.036350090562	867.211335175387	1188.83455388948	1	103.041005757273
AANAT	1	1	1	9.84584364500616	87.1559632867733	17.6046605228333
AAR2	939.558738571833	942.036061225014	1098.4140960921	827.321214515987	1	108.896143386351
AARS	5708.21403661153	402.709871363391	1591.62167310444	1603.04625480783	1	93.9370538619167
AARS2	546.427093349955	551.282856004719	559.264670547019	355.540869462498	1	1
AASDH	929.807566250887	1657.8510381415	1	819.109890205649	1	327.135705360002
AASDHPPT	3432.00861217818	6824.25978872929	1	1724.01020293103	6425.06648217363	2126.66252828608
AASS	1	185.777479768004	1	46.8191436815943	1	25.6906320147105
AATF	1239.43972863649	1132.08986101457	2032.94102321624	2089.18869434267	1	619.87821236759
AATK	1	1	1	2110.95809164708	1	1554.47169399076
AB488780	1	595.267874971546	346.115062178099	1	1	73.1495859311699
ABAT	1	3933.13777072702	1	1	14419.8779647881	3701.94290099676
ABCA1	1	2765.19625133255	1	1	6653.19517814997	4377.77024611261
ABCA11P	158.244167977431	428.581887186815	1	97.7194140091844	395.239946223445	33.2685950111301
ABCA12	1	1	109.262785345091	1	114.704947457024	32.4792893466249
ABCA13	3158.62652111634	1	1	1	12642.511679826	689.075616280403
ABCA17P	1	142.267445611155	173.689945211195	1	1	49.1748333261232
ABCA2	1	1	1	1549.19524647829	1	385.342728151183
ABCA3	147.608411635858	64.5683813886771	1	68.3128283298402	1	18.7897771232003
ABCA4	1	1	1	36.0189235611668	1	46.8206853842218
ABCA5	1	1926.41221420634	575.519277811729	281.284269651472	1383.39145021661	636.891760745774
ABCA6	193.450145591487	1.19161675806988	125.324860499153	45.8200338728033	65.0986962467009	21.2154262660228
ABCA7	1	1	1467.40794922305	2614.26387221965	1	184.728848597537
ABCA8	1	1	1	19.7979768098454	1	59.4208138496265
ABCA9	205.87057028357	1	1	97.7179453604968	1	16.4859759450261
ABCB1	1	650.085417231477	812.117103482732	1	1	1
ABCB10	2913.25123213796	2365.57063499779	1691.45811733968	640.695446507108	7742.33118482305	885.381843234557
ABCB11	1	32.7939908920216	64.6935610055643	36.0247273658239	171.017973698889	48.2778295160565
ABCB4	840.091617267839	231.202116394755	1	63.9653737601605	1	1
ABCB5	1	1	75.7592774305679	32.0187865816492	1	96.6794681733773
ABCB6	813.182090844155	1	1	163.94884575965	1	77.1855739685505
ABCB7	890.589104776621	1448.91768475014	548.641680347	599.531414753658	1	170.483211650951
ABCB8	545.339076678516	143.725215033296	222.059151684141	157.400206504174	1	149.27200798392
ABCB9	1	136.569903084863	232.268806683351	1	1	196.342811365408
ABCC1	1	2658.4876444912	3457.78199499054	1522.43986172853	10175.9112056738	635.654432574363
ABCC10	1	2393.98450142764	1	1420.45402434836	8454.09867433351	469.724445556589
ABCC11	1	1	91.5036435416244	36.4935604453357	189.711285244018	65.9309881868841
ABCC12	0	12.4166465657703	103.360149678765	14.3447576081025	0	20.6751407290965
ABCC13	382.641133865773	1	1	1	519.812331544119	112.260507036805
ABCC2	1	1	1	99.2790456421795	1	94.360472400087
ABCC3	871.328625752103	1	1029.66724867301	212.449860293949	3499.89623886987	453.510989679753
ABCC4	2017.27961827242	619.217435283688	1	1	5211.37062345631	745.329993717487
ABCC5	1	915.065066419777	528.506871006203	768.956582314154	1383.10260925684	1245.34380814255
ABCC6P1	1	1	63.0744469300276	30.6202292228881	197.703729945352	55.0822850120826
