GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
A1BG	0.1217092138108	0.000197430937809162	0.0247499811235839	2.59888337345242e-28	1	0.000581511426614666
A1BG.AS1	0.62097671140053	0.0535785759001932	0.0313281266353849	2.37244766777233e-15	1	3.11819843767589e-07
A1CF	0.0179098487067611	1	0.000155301920145838	0.0738874992254026	0.0140541730527881	2.27783511089094e-20
A2M	1.98361412787879e-05	0.933747835500858	3.38777108957663e-07	6.2485814096095e-13	0.0843676236748037	4.12034597511507e-27
A2M.AS1	1	2.08061072240786e-25	0.0947711367230696	1	1	1
A2ML1	0.485137991559333	1	0.185788986325702	0.712459683065861	0.0544732310716704	1.5181194314288e-31
A2MP1	0.410944750180511	0.999489353147252	0.0536848524756825	0.656839479977681	0.955135718480575	7.67022929032107e-28
A4GALT	0.700025818800717	1	4.57717380195807e-09	0.856213163398562	0.0774032373724782	3.35651864938069e-05
A4GNT	0.689295003371683	3.31604350630522e-08	0.0130248560566946	0.795313135521827	0.00515475891009431	8.50137316421232e-13
AA06	0.404251571469762	1	4.65486935830686e-05	0.00435751317127985	0.217028567770794	1.06018581558932e-17
AAAS	1.33609457283632e-06	1	3.19792880677245e-07	4.01778957402448e-19	1	0.905488473986372
AACS	2.98447497756223e-11	3.12501198185279e-06	0.000968784586561829	9.92188765912927e-23	7.0417304058851e-07	3.8343274590009e-06
AACSP1	1	1	0.00866413632265288	0.00701184603482475	0.516209819170314	5.56178862865163e-11
AADAC	0.868669069162823	1	0.00393954933814708	0.000207651868846142	1	9.00293332414138e-08
AADACL2	0.193088937924493	0.226055604129855	7.91004729588961e-06	0.0209491012021983	1	0.000624955473350411
AADACP1	0.409647157814089	0.421736420244047	0.0160376276792206	1	0.0711051303817287	0.00026643269393
AADAT	1	0.595242701634972	0.00972270704846319	9.79881517995526e-08	1	6.35841788913598e-06
AAED1	0.706384285302105	1.70659600829122e-24	0.000378733888718829	1.86872259854907e-30	0.316623966249358	1
AAGAB	5.60951275569761e-06	4.23824067155492e-24	0.00382265386554992	1.59031656649642e-55	9.9510957399823e-05	1.45308234703671e-36
AAK1	0.36638875446919	4.00197527208225e-31	4.58780120269369e-09	3.15859330363314e-13	1.95960263306994e-05	3.11639333738232e-07
AAMDC	0.0214357348751859	0.00972500837371784	0.00230753119251941	5.58517863949906e-28	5.19366284064599e-06	1.08972707327316e-12
AAMP	0.00291042552737863	6.02361968606614e-13	0.000401299453717832	8.61422452592488e-45	1	0.00977791047279831
AANAT	0.231423937135179	1	0.234063124992014	0.0431739457742179	0.000904287041251631	1.34350109464153e-12
