GeneSymbol	B_cells	T_cells	NK_cells 	Monocytes	Eosinophils	Neutrophils
A1BG	0.273858377501338	0.000519548785788967	0.0472838928232667	1.99287604292182e-27	1	0.000740176920198706
A1BG.AS1	0.935200687487203	0.110238283500303	0.0577370708331286	1.05841273682756e-14	1	4.71869931291904e-07
A1CF	0.0580161217269876	1	0.000712966521254638	0.105619763398646	0.0574557518327593	7.29898184763886e-20
A2M	0.000149705367050081	1	4.34095757069715e-06	2.49241168585548e-12	0.243759958729536	1.77106177235246e-26
A2M.AS1	1	1.26774409661627e-24	0.147033102026175	1	1	1
A2ML1	0.782369914150831	1	0.261522393323134	0.835067289460336	0.172270222838919	7.61141633452794e-31
A2MP1	0.693177174416495	1	0.0908365542612878	0.775903280543131	1	3.3856260758643e-27
A4GALT	1	1	1.11872120407903e-07	0.985034056919506	0.227956902665717	4.54113528378976e-05
A4GNT	1	1.05819219170409e-07	0.027614378099444	0.922025052182941	0.0248832599639082	1.79975790273749e-12
AA06	0.684660392630822	1	0.000263198285060109	0.00764435739825543	0.501414022733014	2.96007269682656e-17
AAAS	1.32659917353373e-05	1	4.14181509035032e-06	2.11024092227747e-18	1	0.984651647292101
AACS	7.1245760846659e-10	9.09816274092797e-06	0.0032100670965098	5.97326875892256e-22	9.5067750585687e-06	5.44296041459617e-06
AACSP1	1	1	0.0196380439676626	0.0119325364152558	0.940003669200567	1.05142324533785e-10
AADAC	1	1	0.010194902117301	0.000435958997785729	1	1.40733791333488e-07
AADACL2	0.391348838206043	0.410705990713003	6.06129066498547e-05	0.0331230130354559	1	0.000794307475959805
AADACP1	0.691365380910615	0.710434329821337	0.0328535453025751	1	0.212647645134144	0.000344700680311516
AADAT	1	0.953753659186483	0.0216143333471379	2.82962185253942e-07	1	8.91207374687635e-06
AAED1	1	1.00315788706695e-23	0.00148685321976183	1.56425156055586e-29	0.661695810570338	1
AAGAB	4.79944680855914e-05	2.45792988062458e-23	0.00995904348634307	7.06107128712607e-54	0.000804370952778338	8.42476525437216e-36
AAK1	0.635341806376547	3.20379942761335e-30	1.12005451008266e-07	1.28160648285883e-12	0.000190121841483555	4.71629727591126e-07
AAMDC	0.0674990313686419	0.0221959376404785	0.00656199448115665	4.22891760273959e-27	5.71778184108739e-05	2.29018243126264e-12
AAMP	0.0125348577556452	2.31895972092022e-12	0.0015589616987116	1.60534451040364e-43	1	0.0117686000049159
