Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	NK cells resting	NK cells activated	Monocytes	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM5532520_cy5	0	0.10606517734028	0.00240322421003464	0.017412462110732	0	0.0298814156374276	0.1778874413905	0	0	0.111337803211603	0	0	0	0.555012476099423	9999	0.733641394436071	0.679368029367197
GSM5532521_cy5	0	0.020631867228391	0	0.0782331746125566	0	0.0112173190298665	0.165889294934983	0	0	0.137061104530073	0	0	0	0.586967239664129	9999	0.705643980251391	0.709682580660465
GSM5532522_cy5	0	0.0689373335129025	0	0.029020048321858	0	0.0815372617978135	0.0618961342237201	0.0137581883598563	0.00818236790056797	0.043569035787794	0	0.00255161691318441	0	0.690548013182303	9999	0.689106019405078	0.741625320643254
GSM5532523_cy5	0	0.0594395110854475	0	0.0990616993040062	0.0550857347469445	0	0.143916078638536	0	0	0.0943334202639261	0	0.040736783801554	0	0.507426772159586	9999	0.512024882064168	0.876434959050401
GSM5532524_cy5	0	0.0765857979488969	0.0120629421023362	0.0434433785342711	0	0.0299437132055194	0.0746814423933072	0.0246179974161009	0.075769849511886	0.0183538566685945	9.99601458244124e-05	0	0	0.644441062073263	9999	0.579550391635745	0.844142520280101
GSM5532525_cy5	0	0.114988107603579	0	0.0768153375195566	0.0332548241779933	0.0495134846246624	0.128191612663289	0	0	0.0680843168294628	0	0.108282839384584	0	0.420869477196873	9999	0.437941095608583	0.919122000877777
GSM5532526_cy5	0	0.0415788736030549	0	0.0502566669320648	0.00184092389321716	0.0734893209711258	0.230080228473084	0	0	0.157629073674414	0	0.0725914271300291	0.00377232252513886	0.368761162797871	9999	0.437160730809632	0.91357605083332
GSM5532527_cy5	0	0.0890575024625555	0	0.0574116220936234	0	0.0501990391658784	0.140376968022776	0	0	0.102763916541349	0	0.134805746167382	0	0.425385205546436	9999	0.765209182886129	0.654443586010849
GSM5532528_cy5	0	0.0504241588007684	0	0.220844365124452	0	0.0106573256064046	0.0873398484036328	0.00113350245834743	0.0751386438047032	0.00498234467380376	0	0.10066631934561	0	0.448813491782278	9999	0.47959243550402	0.898124550175177
GSM5532529_cy5	0	0.081507888867476	0	0.420877561556313	0	0	0.175435032679237	0.000604188687980965	0.0401397934109761	0	0	0.0368294772704562	0	0.24460605752756	9999	0.526774368291941	0.853166173519802
GSM5532530_cy5	0	0.0680408285551989	0	0.191105300767208	0.0164557953788561	0	0.0368152868050019	0.0391528373077268	0.0795329782357232	0	0.0525124874445482	0.0625626172750032	0	0.453821868230734	9999	0.386549980050824	0.967270147173235
GSM5532531_cy5	0	0.0896136343005504	0.00333578746024403	0.137604410720693	0	0.0734024137403748	0.079792813505746	0	0.0466401304466861	0.065904268540809	0	0.0905004652349639	0	0.413206076049933	9999	0.389760298112137	0.952183212906742
GSM5532532_cy5	0	0.101337933175223	0	0.130373934833793	0	0.033619605863815	0.107185563340147	0.0174635182832235	0.0791424056105237	0.0193623077860794	0	0.142159940647387	0	0.369354790459809	9999	0.458444487697259	0.901186165050537
GSM5532533_cy5	0	0.0857390328608742	0	0.120673128537809	0	0	0.0922023389570056	0	0.0469888397298388	0.0292340128868178	0	0.0578977360675739	0	0.567264910960081	9999	0.39094782887202	0.985932006610182
GSM5532534_cy5	0	0.0813009126071063	0	0.0785964403800053	0.051904172126865	0	0.0564966608903403	0.0169054609439413	0.0821170474906546	0.0127886452502212	0	0.0485010616654704	0	0.571389598645396	9999	0.522866805418953	0.883243872500619
GSM5532535_cy5	0	0.0286776806828468	0	0.206426291796647	0	0	0.152948194447846	0	0.041809178229255	0.022827355685548	0	0.0347948731583316	0	0.512516425999525	9999	0.518288326605477	0.874185474797966
GSM5532536_cy5	0	0.034202346215413	0	0.0974757292326725	0.00771629723169803	0	0.218311910000457	0.00929106288929697	0	0.0872394716968085	0	0.0221857621621513	0	0.523577420571503	9999	0.528747446556342	0.86508215899417
GSM5532537_cy5	0	0.0646326539722168	0	0.232545822720137	0	0	0.117405117407829	0.00409174249795329	0.0105503676846436	0.0195517730296901	0	0.0377996365850311	0	0.513422886102499	9999	0.387213309381463	0.97390973842847
GSM5532538_cy5	0	0.109788649918611	0	0.119380696613765	0	0.0889790383828955	0.141287891880313	0	0	0.0195818747743884	0	0.204908902536205	0	0.316072945893821	9999	0.386393195493028	0.94215170700757
GSM5532539_cy5	0	0.0874496210139133	0	0.214329842200916	0	0	0.234650821933949	3.67237215754679e-05	0.00722371877763343	0.0169413292632547	0	0.126947351058601	0	0.312420592030157	9999	0.291136672565381	0.997255172692901
GSM5532540_cy5	0	0.105694997364745	0	0.233515807839621	0.0490889362031469	0	0.345145854621805	0	0	0.0332520999760161	0	0.0628476887948412	0.0171865668175951	0.153268048382229	9999	0.17703557769719	1.05500662993682
GSM5532541_cy5	0	0.0689805229589965	0.0042830826933607	0.0815958468514166	0.0207678246196425	0	0.146056397846448	0.0142228429646714	0	0.0549922187295675	0	0.0731079444131763	0	0.53599331892272	9999	0.680420328871549	0.733116006513716
GSM5532542_cy5	0	0.0419007473682854	0	0.0946140051782115	0.011075952649841	0.0678562141912058	0.15802962729103	0	1.00826381832743e-05	0.0470013361339656	0	0.234497088168411	0	0.345014946380866	9999	0.462819012950015	0.897440412991094
GSM5532543_cy5	0	0.102191726832543	0	0.0784426160947138	0.0277021186518605	0	0.0408833550093642	0.00578707405824306	0.0347921645676238	0.0297290551271147	0	0.0565101809324329	0	0.623961708726104	9999	0.468444770548185	0.943958881393343
GSM5532544_cy5	0	0.132257834399979	0	0.0927631296972394	0.0768273849364257	0	0.0974191341615235	0	0.0296499991942435	0.022026991397404	0	0.126591152743656	0	0.422464373469529	9999	0.371933331222875	0.967205728206143
GSM5532545_cy5	0	0.105149900673817	0	0.0163905762881806	0.0469193871860954	0	0.0282127235377296	0.0159584954395408	0.0107400640335334	0.0228209599452332	0	0.0249427488455933	0	0.728865144050277	9999	0.545524024744671	0.908383810207368
GSM5532546_cy5	0	0.196967489190382	0	0.039056159881684	0.00357596963827344	0.108969509149904	0.0383654815864486	0	0.0614870036202292	0	0.0385811296228078	0.0868222495737454	0	0.426175007736525	9999	0.36520561489039	0.974838446761553
GSM5532547_cy5	0	0.0865313421820227	0	0.0697876075907911	0.0723548480866648	0	0.0253136976062617	0.0177686269374263	0.0134376395287252	0.0200829208578399	0	0.135039708724835	0	0.559683608485433	9999	0.507683011492345	0.900472521555998
GSM5532548_cy5	0	0.14341248945782	0	0.0436624562200648	0.0760194157103333	0	0.0241591034454036	0.0204582600254145	0.0123838858046022	0.0274666683734817	0	0.100565375590375	0	0.551872345372505	9999	0.437661280395509	0.952481048402424
GSM5532549_cy5	0	0.0303994578938333	0	0.0183862578136207	0.0316576012546508	0	0.104610335730122	0	0	0.0863484931445609	0	0.086736874271893	0	0.641860979891319	9999	0.639684145270053	0.790460363724575
GSM5532550_cy5	0	0.0257678224800261	0	0.0755525902506925	0.0189973930707731	0	0.148148602966816	0	0	0.106230939708869	0	0.0472676936158217	0	0.578034957907001	9999	0.566226773308278	0.844414476894723
GSM5532551_cy5	0	0.0311272123382379	0	0.0611643377402956	0.0123111589640595	0.010523145288104	0.13259012809626	0	0	0.140981767976216	0	0.0650082575172799	0	0.546293992079547	9999	0.519530984674486	0.879351126154924
GSM5532552_cy5	0	0.0810102715416712	0	0.0319467524361717	0.0782024558449028	0	0.0724798458618256	0	0.0276570336597033	0	0	0.0877729070057197	0	0.620930733650006	9999	0.538442602088597	0.885008930524353
GSM5532553_cy5	0	0.034307528027517	0	0.038106128184447	0	0.08782739162857	0.0583150885254958	0	0.000252696929093372	0.0521102845701234	0	0.190345348817173	0	0.53873553331758	9999	0.539996198532838	0.870727500019506
GSM5532554_cy5	0	0.0359209449339001	0	0.0486223342270195	0	0.0803100196933771	0.0703685764575416	0	0	0.049108075567287	0	0.256538864536039	0	0.459131184584836	9999	0.529026143696174	0.86774132165822
GSM5532555_cy5	0	0.109371134157886	0	0.0886822929497722	0.0284135166821392	0	0.154470725007614	0.0028530688027181	0	0.0323841379460508	0.0328544546299334	0.0562050305881445	0	0.494765639235742	9999	0.471255909971777	0.906194418445152
GSM5532556_cy5	0	0.0585409131612054	0	0.0558233101991502	0	0.0179771132167164	0.100796261683118	0	0.0129960825348304	0.038348797392098	0	0.0781471916934982	0	0.637370330119383	9999	0.723280954791639	0.696838575376705
GSM5532557_cy5	0	0.0918480963339994	0	0.258693571766602	0.0319482020901676	0	0.152503958149411	0	0.0308075078349833	0	0	0.0753618062420163	0	0.358836857582821	9999	0.27200787171676	1.02019304883414
GSM5532558_cy5	0	0.140922764971258	0	0.00774219251586408	0.047966079870138	0	0.0205865600736864	0.00591928840461257	0.0207006571414126	0.0204381597687027	0	0.0504723091624163	0	0.685251988091909	9999	0.451805449723631	0.982787649570465
GSM5532559_cy5	0	0.0867292606534145	0.00833897308963098	0.0373790796571293	0.0481133644771438	0	0.0412028706803952	0.00582080334503592	0.0122815386494512	0.0116209085161948	0.00403545063687069	0.263228751624856	0	0.481248998669878	9999	0.486937898640829	0.908750111687547
GSM5532560_cy5	0	0.0738798611742423	0.00549950856257222	0.0382726235245185	0.0284863429881952	0.0239292531925941	0.0366312499726668	0.00511838256406219	0.0173764232077122	0	0.013075037488171	0.155718181868434	0	0.602013135456832	9999	0.588698252304248	0.839785907945033
GSM5532561_cy5	0	0.112573392452557	0	0.132702324560976	0.0769194911133549	0	0.0891095597341999	0	0.0644680020021242	0.0111466230433128	0	0.0711816316022178	0	0.441898975491257	9999	0.365487679656023	0.975307413431439
GSM5532562_cy5	0	0.0945349095977105	0	0.0993209808702836	0.0514956996585304	0.017899307816707	0.0911149154946853	0	0.0323716732088559	0.00302948278283277	0	0.0899115894457946	0	0.5203214411246	9999	0.423823168126692	0.951834071850254
GSM5532563_cy5	0.0374555488852972	0	0.0130052587124398	0.0279827778335583	0	0.0754988600506403	0.158526400288674	0	0	0.0921332133107126	0	0	0	0.595397940918678	9999	0.630820286829822	0.7846672988726
GSM5532564_cy5	0	0.0154478831798515	0	0.0231939630600748	0.022932654024812	0	0.101674765724059	0	0	0.0722205717191687	0	0.112944265906096	0	0.651585896385937	9999	0.683984883956205	0.747106165888093
GSM5532565_cy5	0	0	0.037995071289707	0.0964142006302315	0	0	0.0108418327795445	0.398582171851982	0.0442183313897235	0.134325156112133	0	0.277623235946679	0	0	9999	0.139857235983203	1.0977075458747
