GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
A1BG	0.311177179419073	4.85377667780602e-05	1	1	0.825874890259085	0.000311466127366364
A1CF	1.09428889199631e-07	5.18900400305805e-11	1.25508717974082e-09	2.05828253274206e-15	0.607433294920555	1.65190845303171e-65
A2LD1	0.06499862068692	2.40273501498717e-06	0.00249727149179701	3.29427912888364e-05	1	5.33024097457017e-05
A2MP1	1	1.96913623055982e-07	0.00740765162348249	8.25485352862932e-05	0.932997167790038	1.9014470812381e-19
A4GNT	1	4.2712000926172e-15	1	0.00718890285171761	5.50945741515739e-19	4.83443175428306e-09
AA06	0.742612963082155	8.34122665423353e-18	0.37458497423106	0.0419867554240574	0.29398012514544	4.07519795464287e-12
AAA1	0.701166393231986	1	1	1	1	0.400810663804558
AACS	1	1.5680631763755e-23	0.137037003185016	9.6018566163943e-08	2.69661392065291e-08	0.000128370737867682
AACSP1	1	6.75915557455425e-15	1	0.0269917960876003	3.47977242642645e-08	0.0130868501345485
AADACL2	7.7175218839718e-30	0.576591003308353	1	0.00699369640125	1	8.87817856432652e-24
AADACL3	4.73206063234942e-05	0.00600101777935368	0.0476450830679746	1	0.000462092559037949	3.56243609906374e-25
AADACL4	1	0.165691808857486	0.372747146578666	0.8800843247355	4.82068534090524e-05	0.40442399490836
AAGAB	0.225886209815978	1	1	1	1	0.562781203239972
AAK1	8.08892426120736e-11	1.57169634251522e-37	1.84333709011654e-18	1.36765424199295e-13	1	8.20004189966631e-76
AAMP	0.232093567182231	2.29701501777629e-27	2.98051588439203e-20	2.79638641636607e-15	1	1.64100156122303e-37
AARS	0.177847005423566	6.48001029783729e-08	0.0142688614748764	0.00157400184504152	0.313131391245915	4.25261489271321e-07
AARSD1	1	1.70089726636755e-29	2.07602798111977e-06	2.85603908470795e-12	0.000442454031307484	0.000421422221684646
AATF	2.34813287946911e-05	0.0226666474899478	2.76971743280857e-25	1.15218884268512e-14	1	2.21843970559342e-49
AATK	1	1	6.14698173219199e-05	0.000933297534341382	1	3.83616120247464e-66
ABCA1	0.0212253996944866	1.47407617165803e-24	1	3.5033886811426e-40	1	1
ABCA11P	1.6394536220579e-08	2.7717439622165e-10	0.576691590187667	0.113196506364961	6.39524280099163e-10	1.77077767114955e-06
ABCA13	0.000808397576505793	0.846199516442981	1	0.00190882381949125	0.459911036212304	0.000891160004183417
ABCA17P	0.138249526838995	6.77055832524603e-14	0.00960353731054254	0.000994453991893586	0.000154011156277914	4.81619992618814e-10
ABCA6	1	2.57247072322019e-22	0.545329060784978	3.29436737271488e-05	0.138713980533759	0.016593999373741
ABCA7	4.20253560890527e-06	0.818108905128581	4.87733190930614e-18	0.630494535648736	1	9.0486654114172e-23
ABCB1	1	5.53872612316252e-14	0.666044833242837	0.00197353311642197	0.0012427410181531	0.0861627505480003
ABCB10	2.24658096583609e-07	3.37896866592028e-18	1	4.48679578236165e-11	1	5.44556179719737e-27
ABCB5	0.0151178884378179	1.60833368390313e-11	0.0418204792983636	4.65222406557628e-08	0.454679283042155	2.45040710857923e-06
ABCB7	2.70490396257745e-07	0.00774959569208686	0.0338108387092784	0.000377541564865537	2.4350108181793e-25	8.28615886154576e-09
ABCB8	0.010347626437832	1.58943316837559e-27	3.28617090290105e-07	1.89535864297084e-19	0.0118590171700836	3.73065150444453e-22
ABCB9	0.00116345978146508	6.69919194704073e-22	0.00141361666881607	0.0172419434586327	0.410732471475595	2.53479874956956e-58
ABCC10	1.66254282652002e-06	2.00903972625132e-06	1	1	1	1.31401633656005e-05
ABCC11	0.407492713519935	0.010428350238275	1	0.468463414155248	1	0.181585332147614
ABCC13	3.39010874223169e-05	2.77647472979585e-05	1	0.000890530893153663	1	0.16751835475177
ABCC2	3.5092711114005e-06	3.88573186251923e-16	1	0.000711865074254376	0.0191482012609209	2.93136327113119e-35
ABCC3	6.2039327209281e-10	0.0225345143681092	1	3.21626654787539e-18	1	5.32017982686723e-18
ABCC5	1	1	1	0.0142704278253594	1	1
ABCC6	0.000363466070951621	9.28336516225995e-15	0.535173464406796	3.36609709112334e-07	2.12981290108421e-33	3.86380023366129e-12
ABCC6P1	0.747553898685117	4.80596377132699e-07	0.315876285279692	0.00448010968849895	0.635001322396807	0.000147511098593394
ABCD1	0.0157508269242963	0.250171413599925	4.70101902181232e-15	1.07363317736725e-25	0.00113780288855358	7.34932545787914e-32
ABCD3	0.00882362764948117	2.91048479173652e-06	0.00631828368414743	1.37028654833809e-06	1	0.000186047534654931
ABCE1	0.000640368716614029	2.55007115473804e-08	1	0.000255153600878421	0.0784573311270499	1.42463225208214e-18
ABCF1	2.25461359373234e-17	3.15717762521063e-11	0.00354492723677121	0.00824903821925637	3.24522410149217e-08	1.11032021384387e-11
ABCF3	2.2704341991334e-08	9.36431505162196e-37	3.00101431941095e-12	7.40370656987013e-24	1	3.55927634048482e-38
ABCG1	0.0504113167099004	1	4.61906637514022e-16	1	0.343378809544401	4.09759778332015e-23
ABCG4	0.308770612328015	0.110001553965834	0.992942388146659	0.0520201285269983	0.491014922018988	0.747731979683058
ABCG8	0.948591852534114	7.36588344608966e-11	0.0454533354063528	0.00256351490327357	0.0549077955047678	8.83255331752047e-18
ABHD11	2.97290556954131e-05	6.54252636422614e-14	2.97723537777321e-22	1.03163006700199e-20	0.000366762611531372	6.70358579296756e-80
ABHD11.AS1	0.0492043518521912	1.4016927318126e-15	1	1.75607482797167e-06	0.0418669563399338	7.2687281283205e-12
ABHD12B	3.65216014948932e-08	0.000251212754081441	0.0203573380204074	0.00266050268302851	1	4.67455142239867e-11
ABHD13	0.131085582946048	0.00141211650168025	0.58261998828203	0.00282651003743922	1	1.88578140469672e-12
ABHD14B	1.50054272808662e-05	5.78929003472914e-15	1.96586617032894e-10	2.51436241863436e-07	1	1.7258919134015e-08
ABHD16A	1	1	9.58685153775954e-14	5.13592145730571e-14	0.455496225622243	2.52374731449839e-25
ABHD16B	0.000300965843082576	0.000148546991839736	1	1	0.946798633996009	6.50443234258823e-18
ABHD2	0.143221554469444	1	3.16333850462927e-11	0.0270776890309917	0.928089454175616	1.42736974473345e-25
ABHD5	1	1	0.701911408844273	1	1	1.2864547191694e-08
ABHD6	0.196392624796998	3.09213988357925e-05	5.29671299313913e-05	2.23545334507233e-12	1	3.20714828174713e-16
ABI1	1	1	1	1	0.524662616993079	0.157549916210556
ABI3BP	1	3.18817254432914e-19	1	0.00988425050265485	0.127101894026724	8.19468301669109e-16
ABL1	0.813507176592275	2.42708217697613e-09	3.6977106767949e-06	3.47901750419882e-09	1	6.12527074551457e-56
ABL2	0.00246017001360276	0.0700108310774873	1.65635703428335e-05	7.35961944267345e-08	0.259837678211704	7.86111607852564e-67
ABLIM2	0.00925791888995433	1	1	1	1	1.02325131925046e-44
ABO	0.658028314611821	1.44271790244524e-25	1	0.167991259799246	0.805305890406903	6.85825475163624e-28
ABP1	0.258309741208617	0.0115311800077924	0.0218393520312833	0.00548830986980391	1	1.82269427518973e-23
ABR	0.768713178707951	0.000177671991103752	3.12251812348091e-25	2.19061830230493e-12	1	4.18635456717282e-58
ABTB1	0.66411257457884	1	3.8556786321141e-06	0.0733438596049995	1	2.67311009722599e-41
ABTB2	0.0222934345030125	1.41555343876589e-05	0.293796714069957	1	1	4.4564285372077e-37
ACAA1	1	0.00181961608723023	1.16110083498966e-05	9.51824584592991e-22	0.728325920087236	1.99102593516576e-93
