GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
A1BG	0.526010008578366	8.40919705478031e-05	1	1	1	0.000458805785669218
A1CF	9.2626654906479e-07	1.6732417314765e-10	1.31357105755112e-08	2.67960627002891e-14	1	4.49457790189198e-64
A2LD1	0.135492161396106	4.74636280091294e-06	0.00885165684240864	0.000104687906205641	1	8.1887084742656e-05
A2MP1	1	4.36229056545406e-07	0.0234819321682027	0.000246113162210555	1	5.80347487896217e-19
A4GNT	1	2.19585663685034e-14	1	0.0149769497133476	2.39773700648145e-17	9.06075260525964e-09
AA06	1	5.74920551921876e-17	0.67938917772789	0.0749976021098221	0.8053058582852	8.75020024619721e-12
AAA1	1	1	1	1	1	0.476384303276254
AACS	1	1.93982348499404e-22	0.296559448342676	4.43395658713292e-07	4.15081844207031e-07	0.000193558669892214
AACSP1	1	3.38760440118781e-14	1	0.0500354561182605	5.26257583289894e-07	0.0175535961745592
AADACL2	1.48997433138639e-27	0.662067290606769	1	0.0146239892026599	1	3.31320552303923e-23
AADACL3	0.000220142108064284	0.0084752117244911	0.120749231119372	1	0.00333706954294497	1.4334849480122e-24
AADACL4	1	0.201796855724156	0.676379542298606	1	0.000435469375643347	0.480427221286701
AAGAB	0.399316475330252	1	1	1	1	0.656005734241057
AAK1	1.31303933356343e-09	6.88964860482278e-36	1.02616200955322e-16	1.36901208955808e-12	1	4.04386848899848e-74
AAMP	0.40870057930364	4.01601431046282e-26	2.40401787866429e-18	3.57134557946597e-14	1	1.19314488513925e-36
AARS	0.325392424077717	1.50826249692383e-07	0.0422157316671107	0.003739361890799	0.8415087351297	7.26571785661451e-07
AARSD1	1	3.57267171180999e-28	1.26769030287219e-05	2.42883773707965e-11	0.00320929486817275	0.000616572918343515
AATF	0.000117264489533862	0.0302000087106359	5.58498133006778e-23	1.34210032843707e-13	1	2.92376498018224e-48
AATK	1	1	0.000296101257656607	0.00231133783477448	1	1.081034992275e-64
ABCA1	0.0507909485305305	2.00536239604572e-23	1	1.44498858603127e-37	1	1
