GeneSymbol	B cells	T cells	NK cells	Monocytes	Eosinophils	Neutrophils
A1BG	135.349581693068	185.313123454921	0	NA	NA	95.8343131045028
A1CF	48.0030237161469	20.2532639702005	61.799655244848	43.070078766537	NA	33.4180874220574
A2LD1	49.7612951050354	43.4561695982519	91.7025288712527	66.7516640750238	NA	21.6776262831986
A2MP1	1	14.2129732843244	24.0289055969076	18.726807868459	NA	14.6295792742375
A4GNT	NA	39.0713644275934	NA	22.9824782996964	1206.73866231682	16.8506009633012
AA06	NA	31.0970756101762	NA	12.5716116289385	NA	14.5141090501291
AAA1	NA	NA	NA	0	NA	NA
AACS	NA	111.302364262454	NA	101.39540026146	1638.41716083708	24.191849863026
AACSP1	1	56.9912018209074	1	27.7746605262188	NA	10.4064446735357
AADACL2	NA	NA	NA	12.0628380295727	NA	15.4732864212222
AADACL3	60.5264124637405	NA	NA	NA	NA	31.4675953423751
AADACL4	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	NA	NA	0	NA
AAK1	264.375733151134	184.092233336569	404.861381108852	179.377857456044	NA	164.00784412018
AAMP	NA	250.537709748862	697.069055018648	313.461145919578	1	175.29265112677
AARS	1	153.988489340412	229.03644777525	156.392398310561	NA	83.951526163308
AARSD1	NA	150.708330202572	202.603653200538	158.993285978152	1224.29546206706	26.4816840534831
AATF	647.161219282161	117.963033547018	1837.87322411935	710.827993241628	1	478.39527846462
AATK	1	1	1542.75738902863	672.641452454376	1	1280.48236970388
ABCA1	323.036388270953	NA	NA	NA	NA	NA
ABCA11P	NA	53.2789462511098	NA	NA	NA	NA
ABCA13	222.580086476282	NA	NA	122.346215564254	NA	43.737716731385
ABCA17P	NA	20.6575228470611	NA	15.6319282562015	NA	9.95602561813195
ABCA6	1	47.740369072654	NA	34.7700375903559	NA	NA
ABCA7	NA	NA	3355.72038174897	NA	NA	676.750148298128
ABCB1	1	72.5787527878878	NA	51.4119405335131	NA	NA
ABCB10	91.5273080938967	53.0530636638025	1	69.4804720612014	1	38.7837532643195
ABCB5	29.7364053356207	28.3667485424676	27.9486138350709	40.000423491246	NA	11.4865892764036
ABCB7	NA	NA	199.819772617961	177.441608203836	NA	96.6425519650333
ABCB8	38.9070874254015	58.0941071729905	87.5298342246289	83.2206237826274	NA	29.9299800335981
ABCB9	26.6864305173042	27.564934544147	29.4389393182753	11.5961656699039	NA	28.4545807554884
ABCC10	808.271477862867	272.287666729722	1	1	NA	145.477073062346
ABCC11	36.3816828783933	38.2787940091472	NA	NA	NA	11.6287660181382
ABCC13	516.094950540318	177.221881379345	0	245.046103901	NA	NA
ABCC2	186.876150138612	113.032799450505	1	80.6770442924641	NA	103.264387577382
ABCC3	354.850298247402	43.9769641824439	NA	299.993237305285	NA	99.4483693711225
ABCC5	NA	NA	NA	NA	0	NA
